MesAno,ID_Unidade,Consumo_kWh,Consumo_MWh,ImportacaoRede_kWh,GeracaoSolar_kWh,AutoconsumoSolar_kWh,ExportacaoRede_kWh,DemandaMaxima_kW,DemandaContratada_kW,DemandaFaturavel_kW,ExcessoDemanda_kW,UtilizacaoDemandaPercentual,CustoPonta_R,CustoForaPonta_R,CustoEnergia_R,CustoDemanda_R,CustoUltrapassagem_R,Impostos_R,OutrosCustos_R,CustoTotal_R,CustoMedio_R_kWh,EconomiaSolar_R,Emissao_tCO2e,EmissaoEvitadaSolar_tCO2e
2025-09,U002,374164.56,374.16,339636.59,34527.97,34527.97,0.0,842.44,720,842.44,122.44,1.1701,76589.65,164084.04,240673.69,32855.32,9550.63,67372.95,6200,356652.59,0.9532,20026.22,13.076,1.3293
2025-10,U002,382252.17,382.25,344395.02,37857.15,37857.15,0.0,757.01,720,757.01,37.01,1.0514,77752.11,166344.5,244096.61,29523.39,2886.78,65808.61,6200,348515.39,0.9117,21957.15,13.2592,1.4575
2025-11,U002,368897.61,368.9,330612.32,38285.29,38285.29,0.0,929.3,720,929.3,209.29,1.2907,83285.17,155973.37,239258.54,36242.5,16325.01,69454.6,6200,367480.65,0.9962,22205.47,12.7286,1.474
2025-12,U002,397381.23,397.38,358884.88,38496.34,38496.34,0.0,855.67,720,855.67,135.67,1.1884,82981.15,172502.07,255483.22,33371.09,10582.18,71265.89,6200,376902.38,0.9485,22327.88,13.8171,1.4821
2025-01,U003,1794723.73,1794.72,1794723.73,0.0,0.0,0.0,2921.0,2100,2921.0,821.0,1.391,356404.55,1025580.5,1381985.05,131445.09,73890.18,400004.72,12400,1999725.04,1.1142,0.0,69.0968,0.0
2025-02,U003,1708048.78,1708.05,1708048.78,0.0,0.0,0.0,3255.01,2100,3255.01,1155.01,1.55,347909.38,972163.41,1320072.8,146475.5,103950.99,395765.82,12400,1978665.1,1.1584,0.0,65.7598,0.0
2025-03,U003,1984597.23,1984.6,1984597.23,0.0,0.0,0.0,3396.34,2100,3396.34,1296.34,1.6173,410850.67,1126616.98,1537467.65,152835.21,116670.42,455357.27,12400,2274730.55,1.1462,0.0,76.407,0.0
2025-04,U003,1968306.35,1968.31,1968306.35,0.0,0.0,0.0,3527.31,2100,3527.31,1427.31,1.6797,404029.63,1118906.82,1522936.45,158728.82,128457.63,456150.97,12400,2278673.86,1.1577,0.0,75.7798,0.0
2025-05,U003,1996304.23,1996.3,1996304.23,0.0,0.0,0.0,3468.41,2100,3468.41,1368.41,1.6516,408682.91,1135310.31,1543993.21,156078.54,123157.08,459453.67,12400,2295082.5,1.1497,0.0,76.8577,0.0
2025-06,U003,1859026.88,1859.03,1859026.88,0.0,0.0,0.0,3199.53,2100,3199.53,1099.53,1.5236,381809.21,1056691.47,1438500.68,143978.85,98957.7,423722.18,12400,2117559.41,1.1391,0.0,71.5725,0.0
2025-07,U003,1813026.38,1813.03,1813026.38,0.0,0.0,0.0,2975.35,2100,2975.35,875.35,1.4168,363183.71,1034637.11,1397820.82,133890.57,78781.14,405844.12,12400,2028736.64,1.119,0.0,69.8015,0.0
2025-08,U003,1737703.64,1737.7,1737703.64,0.0,0.0,0.0,2841.63,2100,2841.63,741.63,1.3532,338592.41,995890.49,1334482.9,127873.35,66746.7,385333.94,12400,1926836.89,1.1088,0.0,66.9016,0.0
2025-09,U003,1627377.33,1627.38,1627377.33,0.0,0.0,0.0,2653.76,2100,2653.76,553.76,1.2637,313943.23,934067.33,1248010.56,119419.06,49838.13,357151.47,12400,1786819.22,1.098,0.0,62.654,0.0
2025-10,U003,1660109.13,1660.11,1660109.13,0.0,0.0,0.0,2716.71,2100,2716.71,616.71,1.2937,321405.83,952342.4,1273748.23,122251.86,55503.72,365778.96,12400,1829682.77,1.1021,0.0,63.9142,0.0
2025-11,U003,1621076.45,1621.08,1621076.45,0.0,0.0,0.0,2686.45,2100,2686.45,586.45,1.2793,310575.8,931410.44,1241986.23,120890.16,52780.32,356745.49,12400,1784802.21,1.101,0.0,62.4114,0.0
2025-12,U003,1713143.76,1713.14,1713143.76,0.0,0.0,0.0,2774.54,2100,2774.54,674.54,1.3212,331548.86,982822.01,1314370.87,124854.39,60708.78,377983.38,12400,1890317.42,1.1034,0.0,65.956,0.0
2025-01,U004,908883.49,908.88,876919.71,31963.79,31963.79,0.0,1732.17,880,1732.17,852.17,1.9684,187494.98,479039.03,666534.01,76215.48,74990.96,201981.89,7600,1027322.34,1.1303,20456.82,33.7614,1.2306
2025-02,U004,893028.27,893.03,866477.53,26550.74,26550.74,0.0,1826.32,880,1826.32,946.32,2.0754,191708.26,470509.12,662217.38,80358.12,83276.25,203985.38,7600,1037437.13,1.1617,16992.47,33.3594,1.0222
2025-03,U004,1047796.33,1047.8,1021387.76,26408.57,26408.57,0.0,1959.96,880,1959.96,1079.96,2.2272,225336.44,554910.55,780246.99,86238.28,95036.57,237495.89,7600,1206617.73,1.1516,16901.49,39.3234,1.0167
2025-04,U004,1051769.77,1051.77,1028779.46,22990.31,22990.31,0.0,2022.69,880,2022.69,1142.69,2.2985,223808.54,560311.0,784119.54,88998.54,100557.07,240497.76,7600,1221772.91,1.1616,14713.8,39.608,0.8851
2025-05,U004,1064173.67,1064.17,1040937.29,23236.38,23236.38,0.0,1894.39,880,1894.39,1014.39,2.1527,225701.07,567262.41,792963.48,83353.07,89266.14,238498.93,7600,1211681.63,1.1386,14871.28,40.076,0.8946
2025-06,U004,957979.12,957.98,935332.64,22646.48,22646.48,0.0,1853.56,880,1853.56,973.56,2.1063,204065.95,509159.32,713225.27,81556.55,85673.1,217472.37,7600,1105527.29,1.154,14493.75,36.0103,0.8719
2025-07,U004,901031.0,901.03,875542.28,25488.72,25488.72,0.0,1666.83,880,1666.83,786.83,1.8941,185305.83,479117.11,664422.94,73340.48,69240.95,199330.08,7600,1013934.44,1.1253,16312.78,33.7084,0.9813
2025-08,U004,837171.25,837.17,808939.89,28231.35,28231.35,0.0,1482.49,880,1482.49,602.49,1.6847,165164.21,445320.78,610484.99,65229.69,53019.38,179997.31,7600,916331.38,1.0946,18068.06,31.1442,1.0869
2025-09,U004,773938.8,773.94,743750.49,30188.31,30188.31,0.0,1324.96,880,1324.96,444.96,1.5056,149043.69,410666.1,559709.78,58298.37,39156.74,162319.73,7600,827084.63,1.0687,19320.52,28.6344,1.1622
2025-10,U004,790824.26,790.82,757806.95,33017.31,33017.31,0.0,1308.87,880,1308.87,428.87,1.4874,150707.38,418932.94,569640.32,57590.32,37740.65,164247.91,7600,836819.2,1.0582,21131.08,29.1755,1.2712
2025-11,U004,773503.27,773.5,739901.02,33602.25,33602.25,0.0,1311.57,880,1311.57,431.57,1.4904,148189.46,408576.89,556766.35,57709.21,37978.42,161156.13,7600,821210.12,1.0617,21505.44,28.4862,1.2937
2025-12,U004,849069.34,849.07,815002.32,34067.02,34067.02,0.0,1500.0,880,1500.0,620.0,1.7045,166430.67,448645.57,615076.24,66000.09,54560.18,181702.22,7600,924938.73,1.0894,21802.9,31.3775,1.3116
2025-01,U005,129214.72,129.21,117653.67,11561.05,11561.05,0.0,367.02,420,378.0,0.0,0.8738,18083.58,55720.87,73804.45,13230.0,0.0,19582.75,3400,110017.21,0.8514,6242.97,4.5296,0.4451
2025-02,U005,120480.59,120.48,110834.91,9645.68,9645.68,0.0,387.02,420,387.02,0.0,0.9215,17128.53,52451.33,69579.86,13545.7,0.0,18703.25,3400,105228.81,0.8734,5208.67,4.2671,0.3714
2025-03,U005,135148.22,135.15,125481.5,9666.72,9666.72,0.0,412.69,420,412.69,0.0,0.9826,20032.04,59106.17,79138.21,14444.08,0.0,21056.01,3400,118038.3,0.8734,5220.03,4.831,0.3722
2025-04,U005,139458.04,139.46,130962.62,8495.42,8495.42,0.0,481.58,420,481.58,61.58,1.1466,20767.0,61748.47,82515.48,16855.16,4310.32,23328.22,3400,130409.17,0.9351,4587.53,5.0421,0.3271
2025-05,U005,139880.38,139.88,131515.39,8364.99,8364.99,0.0,421.9,420,421.9,1.9,1.0045,20690.81,62079.88,82770.69,14766.64,133.28,21975.89,3400,123046.5,0.8797,4517.09,5.0633,0.3221
2025-06,U005,128626.75,128.63,120451.49,8175.26,8175.26,0.0,402.66,420,402.66,0.0,0.9587,18572.1,57020.66,75592.76,14093.17,0.0,20179.33,3400,113265.26,0.8806,4414.64,4.6374,0.3147
2025-07,U005,130712.23,130.71,121524.12,9188.11,9188.11,0.0,367.15,420,378.0,0.0,0.8742,18031.48,57833.42,75864.91,13230.0,0.0,20046.35,3400,112541.26,0.861,4961.58,4.6787,0.3537
2025-08,U005,120153.13,120.15,110015.5,10137.63,10137.63,0.0,354.07,420,378.0,0.0,0.843,16901.35,52106.99,69008.34,13230.0,0.0,18503.63,3400,104141.97,0.8667,5474.32,4.2356,0.3903
2025-09,U005,117034.06,117.03,106205.93,10828.13,10828.13,0.0,342.53,420,378.0,0.0,0.8155,16331.5,50295.99,66627.49,13230.0,0.0,17967.94,3400,101225.43,0.8649,5847.19,4.0889,0.4169
2025-10,U005,119736.28,119.74,107655.27,12081.0,12081.0,0.0,340.12,420,378.0,0.0,0.8098,16752.15,50896.92,67649.07,13230.0,0.0,18197.79,3400,102476.86,0.8559,6523.74,4.1447,0.4651
2025-11,U005,111611.47,111.61,99679.19,11932.98,11932.28,0.7,341.66,420,378.0,0.0,0.8135,15547.12,47110.4,62657.53,13230.0,0.0,17074.69,3400,96362.22,0.8634,6443.43,3.8376,0.4594
2025-12,U005,124653.44,124.65,112442.07,12211.37,12211.37,0.0,350.31,420,378.0,0.0,0.8341,17274.68,53256.05,70530.74,13230.0,0.0,18846.17,3400,106006.9,0.8504,6594.14,4.329,0.4701
2025-01,U006,420106.36,420.11,354027.17,66176.01,66079.19,96.82,1001.57,790,1001.57,211.57,1.2678,77741.68,178615.57,256357.25,40062.72,16925.44,75202.9,5600,394148.31,0.9382,39647.51,13.6301,2.5441
2025-02,U006,397844.92,397.84,343556.44,54305.08,54288.49,16.59,1071.7,790,1071.7,281.7,1.3566,74962.77,173541.35,248504.12,42868.0,22536.0,75337.95,5600,394846.07,0.9925,32573.09,13.2269,2.0901
2025-03,U006,451442.16,451.44,396701.19,54740.97,54740.97,0.0,1147.54,790,1147.54,357.54,1.4526,85518.97,200838.56,286357.52,45901.64,28603.28,86606.99,5600,453069.43,1.0036,32844.58,15.273,2.1075
2025-04,U006,466900.87,466.9,418431.42,48469.45,48469.45,0.0,1210.09,790,1210.09,420.09,1.5318,89327.23,212220.93,301548.15,48403.48,33606.96,92054.06,5600,481212.66,1.0307,29081.67,16.1096,1.8661
2025-05,U006,468257.51,468.26,420570.97,47686.54,47686.54,0.0,1169.91,790,1169.91,379.91,1.4809,89431.99,213459.11,302891.1,46796.48,30392.96,91219.33,5600,476899.87,1.0185,28611.93,16.192,1.8359
2025-06,U006,427973.06,427.97,380510.64,47462.43,47462.43,0.0,1110.77,790,1110.77,320.77,1.406,80606.76,193259.96,273866.72,44430.68,25661.36,82550.1,5600,432108.87,1.0097,28477.46,14.6497,1.8273
2025-07,U006,424769.19,424.77,372487.87,52281.32,52281.32,0.0,1105.04,790,1105.04,315.04,1.3988,79429.08,188958.34,268387.42,44201.52,25203.04,81070.07,5600,424462.05,0.9993,31368.79,14.3408,2.0128
2025-08,U006,388087.33,388.09,329541.27,58568.61,58546.06,22.54,937.47,790,937.47,147.47,1.1867,70155.92,167222.19,237378.11,37498.8,11797.6,68801.88,5600,361076.39,0.9304,35127.64,12.6873,2.254
2025-09,U006,373550.23,373.55,310444.59,63400.37,63105.63,294.74,888.94,790,888.94,98.93,1.1252,66974.19,157147.55,224121.73,35557.4,7914.8,64222.54,5600,337416.48,0.9033,37863.38,11.9521,2.4296
2025-10,U006,382039.23,382.04,314490.72,67905.99,67548.51,357.48,877.6,790,877.6,87.61,1.1109,68020.68,159120.22,227140.91,35104.2,7008.4,64620.84,5600,339474.35,0.8886,40529.11,12.1079,2.6474
2025-11,U006,359718.62,359.72,291842.07,68470.85,67876.55,594.3,893.27,790,893.27,103.27,1.1307,64101.0,147235.24,211336.24,35730.64,8261.28,61278.76,5600,322206.92,0.8957,40725.93,11.2359,2.6132
2025-12,U006,397844.95,397.84,328100.28,69952.1,69744.68,207.43,925.62,790,925.62,135.62,1.1717,71115.06,165940.58,237055.63,37024.96,10849.92,68383.32,5600,358913.83,0.9021,41846.81,12.6319,2.6852
