MesAno,ID_Unidade,Producao_Unidades,Producao_t,Area_m2,Funcionarios,ConsumoAnualReferencia_kWh,kWh_m2_Ano,kWh_Funcionario_Ano,kWh_UnidadeProduzida,kWh_t
2025-06,U003,23466.0,485.11,31000,510,21483443.89,693.01,42124.4,76.293,3690.476
2025-07,U003,24116.0,648.48,31000,510,21483443.89,693.01,42124.4,74.236,2760.744
2025-08,U003,21156.0,753.74,31000,510,21483443.89,693.01,42124.4,84.623,2375.205
2025-09,U003,21012.0,673.08,31000,510,21483443.89,693.01,42124.4,85.203,2659.843
2025-10,U003,20694.0,761.22,31000,510,21483443.89,693.01,42124.4,86.512,2351.865
2025-11,U003,20719.0,429.14,31000,510,21483443.89,693.01,42124.4,86.408,4171.802
2025-12,U003,19457.0,816.45,31000,510,21483443.89,693.01,42124.4,92.012,2192.77
2025-01,U004,7181.0,274.63,16000,165,10849168.57,678.07,65752.54,125.901,3292.056
2025-02,U004,8046.0,150.0,16000,165,10849168.57,678.07,65752.54,112.366,6027.316
2025-03,U004,7836.0,260.37,16000,165,10849168.57,678.07,65752.54,115.377,3472.356
2025-04,U004,8252.0,236.57,16000,165,10849168.57,678.07,65752.54,109.561,3821.691
2025-05,U004,7901.0,152.29,16000,165,10849168.57,678.07,65752.54,114.428,5936.683
2025-06,U004,8045.0,221.68,16000,165,10849168.57,678.07,65752.54,112.38,4078.389
2025-07,U004,7891.0,283.4,16000,165,10849168.57,678.07,65752.54,114.573,3190.181
2025-08,U004,7632.0,196.04,16000,165,10849168.57,678.07,65752.54,118.461,4611.801
2025-09,U004,7316.0,302.96,16000,165,10849168.57,678.07,65752.54,123.578,2984.214
2025-10,U004,7043.0,165.32,16000,165,10849168.57,678.07,65752.54,128.368,5468.772
2025-11,U004,6516.0,272.07,16000,165,10849168.57,678.07,65752.54,138.75,3323.032
2025-12,U004,6811.0,186.63,16000,165,10849168.57,678.07,65752.54,132.741,4844.33
2025-01,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-02,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-03,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-04,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-05,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-06,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-07,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-08,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-09,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-10,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-11,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-12,U005,0.0,0.0,6800,360,1516709.31,223.05,4213.08,,
2025-01,U006,11490.0,243.17,12500,240,4958534.43,396.68,20660.56,35.963,1699.269
2025-02,U006,11300.0,307.87,12500,240,4958534.43,396.68,20660.56,36.567,1342.161
2025-03,U006,12162.0,426.12,12500,240,4958534.43,396.68,20660.56,33.976,969.706
2025-04,U006,13020.0,499.64,12500,240,4958534.43,396.68,20660.56,31.737,827.018
2025-05,U006,12837.0,420.1,12500,240,4958534.43,396.68,20660.56,32.189,983.602
2025-06,U006,11787.0,248.59,12500,240,4958534.43,396.68,20660.56,35.057,1662.22
2025-07,U006,11674.0,415.19,12500,240,4958534.43,396.68,20660.56,35.396,995.234
2025-08,U006,12087.0,366.97,12500,240,4958534.43,396.68,20660.56,34.186,1126.008
2025-09,U006,11356.0,309.79,12500,240,4958534.43,396.68,20660.56,36.387,1333.843
2025-10,U006,10689.0,432.16,12500,240,4958534.43,396.68,20660.56,38.658,956.153
2025-11,U006,10765.0,349.78,12500,240,4958534.43,396.68,20660.56,38.385,1181.346
2025-12,U006,11469.0,290.3,12500,240,4958534.43,396.68,20660.56,36.029,1423.394
