ID_Alerta,Timestamp,ID_Unidade,TipoAlerta,Severidade,ValorMedido,ValorEsperado,DesvioPercentual,Status,Descricao
ALT027,2025-03-01 00:00:00,U003,Ultrapassagem de demanda,Critica,3396.34,2100.0,0.6173,Aberto,Demanda maxima mensal acima da contratada.
ALT028,2025-02-01 00:00:00,U003,Ultrapassagem de demanda,Critica,3255.01,2100.0,0.55,Aberto,Demanda maxima mensal acima da contratada.
ALT029,2025-04-01 00:00:00,U004,Ultrapassagem de demanda,Critica,2022.69,880.0,1.2985,Aberto,Demanda maxima mensal acima da contratada.
ALT030,2025-06-01 00:00:00,U003,Ultrapassagem de demanda,Critica,3199.53,2100.0,0.5236,Aberto,Demanda maxima mensal acima da contratada.
ALT031,2025-03-01 00:00:00,U004,Ultrapassagem de demanda,Critica,1959.96,880.0,1.2272,Aberto,Demanda maxima mensal acima da contratada.
ALT032,2025-05-01 00:00:00,U004,Ultrapassagem de demanda,Critica,1894.39,880.0,1.1527,Aberto,Demanda maxima mensal acima da contratada.
ALT033,2025-06-01 00:00:00,U004,Ultrapassagem de demanda,Critica,1853.56,880.0,1.1063,Aberto,Demanda maxima mensal acima da contratada.
ALT034,2025-02-01 00:00:00,U004,Ultrapassagem de demanda,Critica,1826.32,880.0,1.0754,Aberto,Demanda maxima mensal acima da contratada.
ALT035,2025-07-01 00:00:00,U003,Ultrapassagem de demanda,Critica,2975.35,2100.0,0.4168,Aberto,Demanda maxima mensal acima da contratada.
ALT036,2025-01-01 00:00:00,U004,Ultrapassagem de demanda,Critica,1732.17,880.0,0.9684,Aberto,Demanda maxima mensal acima da contratada.
